SANTIAGO	45006	30,52 %
QUILICURA	19466	13,20 %
PROVIDENCIA	18407	12,48 %
LAS CONDES	8694	5,90 %
CONCHALI	8546	5,80 %
INDEPENDENCIA	6401	4,34 %
RECOLETA	5866	3,98 %
NUNOA	5471	3,71 %
ESTACION CENTRAL	3594	2,44 %
VITACURA	3075	2,09 %
MACUL	2604	1,77 %
HUECHURABA	2224	1,51 %
RENCA	1965	1,33 %
SAN MIGUEL	1849	1,25 %
PUDAHUEL	1682	1,14 %
LA REINA	1553	1,05 %
MAIPU	1522	1,03 %
LA FLORIDA	1494	1,01 %
QUINTA NORMAL	1014	0,69 %
LO BARNECHEA	969	0,66 %
PENALOLEN	935	0,63 %
LA CISTERNA	871	0,59 %
SAN JOAQUIN	839	0,57 %
LO PRADO	768	0,52 %
PUENTE ALTO	623	0,42 %
CERRILLOS	421	0,29 %
PEDRO AGUIRRE CERDA	294	0,20 %
SAN BERNARDO	261	0,18 %
CERRO NAVIA	254	0,17 %
SAN RAMON	222	0,15 %
LA PINTANA	208	0,14 %
EL BOSQUE	135	0,09 %
LO ESPEJO	129	0,09 %
LA GRANJA	85	0,06 %
	147447	
