MACUL	491012
MAIPU	1171297
LA REINA	339153
PUDAHUEL	571859
SANTIAGO	4091220
EL BOSQUE	168627
LA GRANJA	162288
PENALOLEN	473906
HUECHURABA	184479
LA FLORIDA	1039583
LA PINTANA	185854
LAS CONDES	1577430
CERRO NAVIA	218207
LA CISTERNA	515465
LA PINTANA 	9
PROVIDENCIA	2302237
LO BARNECHEA	153306
PEDRO AGUIRRE CERDA	205017
NUNOA	1081645
RENCA	244879
CONCHALI	304522
LO PRADO	629695
RECOLETA	663350
VITACURA	248984
CERRILLOS	200797
LO ESPEJO	116754
QUILICURA	446391
SAN RAMON	166698
SAN MIGUEL	479583
PUENTE ALTO	1131312
SAN JOAQUIN	194978
SAN BERNARDO	211576
INDEPENDENCIA	321944
QUINTA NORMAL	297287
ESTACION CENTRAL	988275
	0
